Age_Months,C3,C10,C25,C50,C75,C90,C97
49,14.04507283,14.68022331,15.34891581,16.10061697,17.00033512,18.16426393,19.86188894
50,14.0174812,14.65613444,15.32938553,16.08751439,16.99596545,18.17185377,19.88901523
51,13.9897339,14.63191025,15.30974558,16.07433987,16.99158966,18.17956028,19.91652035
52,13.96177511,14.60750113,15.28995006,16.06104605,16.98715897,18.18734463,19.94439921
53,13.93358112,14.58288332,15.26997121,16.04759379,16.98261848,18.19513818,19.972572
54,13.90513188,14.55804688,15.24980384,16.03397206,16.97794879,18.20292879,20.00106496
55,13.87646918,14.53305659,15.22952471,16.02024805,16.97320231,18.21078488,20.03002313
56,13.84764187,14.50798675,15.20922162,16.00649951,16.968441,18.21878676,20.05961334
57,13.81869782,14.48291123,15.18898237,15.99280395,16.96372598,18.22701452,20.09000617
58,13.7896858,14.45790478,15.16889591,15.97924049,16.95912042,18.23555099,20.1213775
59,13.76071128,14.43308092,15.14908583,15.96594559,16.95477723,18.24457371,20.15395273
60,13.73194533,14.40859724,15.12971482,15.95312197,16.95095474,18.25437175,20.18801325
61,13.70356121,14.38461199,15.11094592,15.9409754,16.94791866,18.26524343,20.22384623
62,13.67573074,14.36128152,15.09294035,15.92971115,16.94593645,18.27749053,20.2617421
63,13.64862295,14.33875869,15.07585561,15.91953192,16.94527521,18.29141572,20.3019906
64,13.62239186,14.3171779,15.05982808,15.91061862,16.94617997,18.30729515,20.34484045
65,13.59718247,14.29666226,15.04498119,15.90313942,16.94888392,18.32539109,20.39051688
66,13.57313902,14.27733342,15.03143683,15.89726237,16.95362283,18.34597,20.43924741
67,13.55040522,14.25931189,15.01931558,15.89315574,16.96063552,18.36930306,20.49126236
68,13.52913039,14.24272471,15.00874499,15.89099498,16.97016882,18.39567099,20.54680299
69,13.50949048,14.22773233,14.99988865,15.89098696,16.98249412,18.42537984,20.60614987
70,13.491669,14.21450443,14.99292006,15.89334809,16.99789231,18.45874642,20.66959711
71,13.47584961,14.20321047,14.98801245,15.89829593,17.0166482,18.49609289,20.73744222
72,13.46221619,14.19401974,14.9853387,15.90604915,17.03905061,18.53774675,20.80998567
73,13.45089862,14.18704223,14.98500798,15.91676159,17.06532373,18.58396494,20.8874382
74,13.44191103,14.182261,14.98699312,15.93044638,17.09554777,18.63484545,20.96981182
75,13.43525456,14.17964407,14.99124998,15.94709993,17.12978803,18.69046904,21.0570899
76,13.43093261,14.17916108,14.99773519,15.96672028,17.16811399,18.75091995,21.14925164
77,13.42894859,14.18078121,15.00640385,15.98930395,17.21059513,18.81628059,21.2462656
78,13.42924724,14.18441607,15.01714785,16.01476726,17.25719728,18.88650733,21.34795128
79,13.43171021,14.18991559,15.02979141,16.04293932,17.30777167,18.96141599,21.45396204
80,13.43621839,14.19712909,15.04415685,16.073645,17.36216267,19.04080962,21.56392617
81,13.44265499,14.20590837,15.06006802,16.10670897,17.42021265,19.12448403,21.67745315
82,13.45089792,14.21610413,15.07734813,16.14194905,17.48174836,19.21221366,21.79413262
83,13.46075763,14.22753613,15.09580172,16.17912306,17.54647255,19.30364289,21.91353741
84,13.47200655,14.2400068,15.11522351,16.21795487,17.61401533,19.39833963,22.03523194
85,13.48441539,14.25331819,15.1354089,16.25816576,17.6839976,19.49586019,22.15877539
86,13.49775325,14.26727166,15.15615359,16.29947456,17.75603144,19.59575008,22.28372279
87,13.51182223,14.28170614,15.17729541,16.34164238,17.8297685,19.69760033,22.40969818
88,13.52656804,14.29662028,15.19884782,16.38461618,17.90505586,19.80122883,22.53662951
89,13.54197275,14.31205352,15.22087042,16.42839166,17.98178972,19.90651295,22.66453389
90,13.55801696,14.32804403,15.24342302,16.47296455,18.05986337,20.01332967,22.79343995
91,13.57468011,14.34462864,15.26656536,16.51833066,18.1391676,20.12155591,22.92338697
92,13.59195019,14.36183506,15.29034082,16.56448446,18.21961445,20.23108561,23.05437165
93,13.60983416,14.37967516,15.31476092,16.61141771,18.30116078,20.34184467,23.18628866
94,13.62834192,14.3981596,15.33983402,16.65912179,18.38376694,20.45375892,23.31901482
95,13.64748411,14.41729977,15.36556911,16.70758805,18.46739118,20.56674986,23.45242078
96,13.66726763,14.43710403,15.39197243,16.75680393,18.55198509,20.68073116,23.58637248
97,13.6875952,14.45749389,15.41897289,16.80666787,18.63739329,20.79553413,23.72076597
98,13.70826347,14.47830187,15.44642006,16.85698806,18.72335314,20.91091069,23.85553599
99,13.72906221,14.49935394,15.47415745,16.90756651,18.80959498,21.02660968,23.99062617
100,13.74977885,14.52047336,15.5020259,16.95820293,18.89584661,21.14238001,24.12598646
101,13.77021713,14.54149751,15.52987969,17.00871358,18.98185669,21.25799282,24.26158335
102,13.7903368,14.56240368,15.55770811,17.05907452,19.06757085,21.37340982,24.39748095
103,13.81017725,14.58324078,15.58556956,17.10934353,19.15303567,21.48868988,24.53379224
104,13.82977889,14.60405875,15.61352335,17.15957973,19.23829959,21.60389366,24.67063161
105,13.84918253,14.62490799,15.64162923,17.20984295,19.32341211,21.71908286,24.80811467
106,13.86845246,14.64585892,15.66996494,17.26021367,19.40844721,21.83433747,24.94635014
107,13.88774269,14.66705793,15.69867649,17.31085004,19.49357028,21.94980406,25.08541423
108,13.90723041,14.68867148,15.72792809,17.36193051,19.57896992,22.06564454,25.22537109
109,13.92709481,14.71086823,15.75788608,17.41363564,19.66483647,22.18202033,25.36628025
110,13.94751576,14.7338177,15.78871767,17.46614654,19.7513603,22.29909073,25.5081954
111,13.96853521,14.75755544,15.82045391,17.51949046,19.83855206,22.41683005,25.65102018
112,13.98993888,14.78186776,15.85287239,17.57340785,19.92608746,22.53486973,25.79438467
113,14.01148356,14.80651281,15.88572165,17.62760517,20.01360066,22.65279713,25.93788235
114,14.03292442,14.83124713,15.91874815,17.68178523,20.10071955,22.77019157,26.08109861
115,14.05402015,14.85583102,15.951702,17.73565373,20.18707368,22.88663343,26.22362095
116,14.07463241,14.88013135,15.98444703,17.78904649,20.27244708,23.00187994,26.3652336
117,14.09471917,14.90411481,16.01695382,17.84192201,20.35677047,23.11585716,26.50590916
118,14.11424163,14.92775169,16.04919691,17.89424312,20.43997977,23.22849771,26.64562917
119,14.13316047,14.95101212,16.08115076,17.94597234,20.52201037,23.3397343,26.78437714
120,14.15145018,14.97387967,16.11280371,17.99708856,20.6028182,23.44952225,26.92215721
121,14.16919573,14.99644371,16.14425222,18.04770021,20.68252289,23.557993,27.05912053
122,14.18653432,15.01884375,16.17564425,18.09797782,20.76132335,23.66536396,27.19549084
123,14.20360407,15.04122049,16.20712936,18.14809425,20.83942238,23.77185791,27.33149808
124,14.22054364,15.06371551,16.23885835,18.19822432,20.91702623,23.87770258,27.46737799
125,14.23746849,15.08644675,16.27095816,18.24851959,20.99432064,23.98310953,27.60335688
126,14.25441017,15.10944612,16.30346802,18.29904416,21.07140991,24.08822092,27.73961332
127,14.27138123,15.13272611,16.33640751,18.34984317,21.14838209,24.19316693,27.87632023
128,14.28839355,15.15629874,16.36979604,18.40096222,21.22532739,24.29808198,28.01365673
129,14.30545865,15.18017565,16.40365286,18.4524476,21.30233856,24.40310489,28.15180776
130,14.32260577,15.20438076,16.43800661,18.50435944,21.37953027,24.50839028,28.29093987
131,14.33989524,15.22895926,16.47290194,18.55678127,21.45705359,24.61411685,28.4311824
132,14.35739064,15.25395825,16.50838481,18.60979975,21.53506629,24.72046978,28.57266333
133,14.37515585,15.27942454,16.54450083,18.66350256,21.61372981,24.82763898,28.71551316
134,14.39325015,15.30539992,16.58129025,18.7179723,21.69320138,24.93581026,28.85985669
135,14.41164496,15.33184063,16.61870415,18.77318292,21.77349854,25.04501339,29.00567384
136,14.43023517,15.35862841,16.65661582,18.82901307,21.85451572,25.15514028,29.1528165
137,14.44891239,15.38564129,16.69489437,18.88533682,21.93614244,25.26607731,29.30112971
138,14.46756746,15.41275598,16.7334072,18.94202674,22.01826735,25.37770982,29.45045569
